W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000655,AURORA THEATRE CO.,"2081 ADDISON ST
BERKELEY, CA
(37.871118308000064, -122.26875264499995)",11/26/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000949,BACHEESO,"2650 TELEGRAPH AVE
BERKELEY, CA
(37.86158432800005, -122.25896401099999)",12/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000333,BAGEL STREET CAFE,"2148 CENTER ST
BERKELEY, CA
(37.87047303000003, -122.26658520299998)",12/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000111,BAHIA,"1718 8TH ST
BERKELEY, CA
(37.87247418700008, -122.29684196199997)",03/27/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001460,BANANA SAM'S CAFE,"1842 EUCLID AVE
BERKELEY, CA
(37.87547508500006, -122.26024304299995)",02/26/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000413,BANGKOK JAM,"1892 SOLANO AVE
BERKELEY, CA
(37.89143303600008, -122.27737977899994)",02/17/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000590,BANGKOK NOODLES,"1958 SHATTUCK AVE
BERKELEY, CA
(37.872796030000075, -122.26848416299998)",01/06/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000269,BANGKOK THAI CUISINE,"1459 UNIVERSITY AVE
BERKELEY, CA
(37.870316374000026, -122.28341479199997)",09/10/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000403,BARNEY'S,"1591 SOLANO AVE
BERKELEY, CA
(37.89109772200004, -122.28478088499998)",01/08/2015,0,1,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000628,BARNEY'S GOURMET HAMBURGERS,"1600 SHATTUCK AVE
BERKELEY, CA
(37.878136856000026, -122.26914442099996)",02/10/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001308,BARON BAKING LLC,"2701 8TH ST
BERKELEY, CA
(37.85694063200003, -122.29179712899997)",06/17/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001153,BARTAVELLE COFFEE & WINE BAR,"1603 SAN PABLO AVE
BERKELEY, CA
(37.87498190800005, -122.293968028)",07/17/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001065,B-DAMA,"920 HEINZ AVE
BERKELEY, CA
(37.85379375000008, -122.29024385299999)",11/12/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000387,BEANERY,"2925 COLLEGE AVE
BERKELEY, CA
(37.85787398000008, -122.25309543899999)",01/16/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000680,BEAR'S RAMEN HOUSE,"2521-D DURANT AVE
BERKELEY, CA
(37.86790896700006, -122.25847517199998)",02/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000954,BEBOP,"2975 COLLEGE AVE
BERKELEY, CA
(37.85664449600006, -122.25298482)",04/03/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001142,BELLI PASTA,"2016 SHATTUCK AVE
BERKELEY, CA
(37.87165642300005, -122.26836432599998)",09/24/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001307,BEN & JERRY'S ICE CREAM,"2130 CENTER ST
BERKELEY, CA
(37.87041311100006, -122.26706570399995)",02/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000179,BERKELEY BAGELS CORP.,"1281 GILMAN ST
BERKELEY, CA
(37.881528021000065, -122.29029340099999)",01/29/2015,0,1,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000504,BERKELEY BOWL KITCHEN,"2020 OREGON ST
BERKELEY, CA
(37.857523687000025, -122.26734570899998)",12/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001040,BERKELEY BOWL MARKET PLACE,"2020 OREGON ST
BERKELEY, CA
(37.857523687000025, -122.26734570899998)",12/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001042,BERKELEY BOWL MEAT DEPT,"2020 OREGON ST
BERKELEY, CA
(37.857523687000025, -122.26734570899998)",12/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001039,BERKELEY BOWL SEAFOOD DEPT,"2020 OREGON ST
BERKELEY, CA
(37.857523687000025, -122.26734570899998)",12/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001049,BERKELEY BOWL WEST #1-FOOD MKT,"920 HEINZ AVE
BERKELEY, CA
(37.85379375000008, -122.29024385299999)",10/30/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001050,BERKELEY BOWL WEST #3-SEAFOOD,"920 HEINZ AVE
BERKELEY, CA
(37.85379375000008, -122.29024385299999)",11/13/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001051,BERKELEY BOWL WEST #4-MEAT MKT,"920 HEINZ AVE
BERKELEY, CA
(37.85379375000008, -122.29024385299999)",06/02/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001052,BERKELEY BOWL WEST #5-REST,"920 HEINZ AVE
BERKELEY, CA
(37.85379375000008, -122.29024385299999)",10/27/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
