BldgID,Meter ID,Item,Value,Start date,Meter End Date,ImpvtDate
83,152,Electricity,,05/01/2012,05/31/2012,10/08/2010
83,152,Electricity,,03/30/2012,05/01/2012,10/08/2010
83,152,Electricity,,03/01/2012,03/30/2012,10/08/2010
83,152,Electricity,,01/31/2012,03/01/2012,10/08/2010
83,152,Electricity,,12/30/2011,01/31/2012,10/08/2010
83,152,Electricity,,12/01/2011,12/30/2011,10/08/2010
83,152,Electricity,,10/31/2011,12/01/2011,10/08/2010
83,152,Electricity,,09/30/2011,10/31/2011,10/08/2010
83,152,Electricity,,08/31/2011,09/30/2011,10/08/2010
83,152,Electricity,,08/02/2011,08/31/2011,10/08/2010
83,152,Electricity,,07/01/2011,08/02/2011,10/08/2010
83,152,Electricity,,06/02/2011,07/01/2011,10/08/2010
83,152,Electricity,,05/03/2011,06/02/2011,10/08/2010
83,152,Electricity,,04/01/2011,05/03/2011,10/08/2010
83,152,Electricity,,03/04/2011,04/01/2011,10/08/2010
83,152,Electricity,,02/02/2011,03/04/2011,10/08/2010
83,152,Electricity,,12/31/2010,02/02/2011,10/08/2010
83,152,Electricity,,12/02/2010,12/31/2010,10/08/2010
83,152,Electricity,,11/01/2010,12/02/2010,10/08/2010
83,152,Electricity,,10/01/2010,11/01/2010,10/08/2010
83,152,Electricity,,09/01/2010,10/01/2010,10/08/2010
83,152,Electricity,,08/02/2010,09/01/2010,10/08/2010
83,152,Electricity,,07/01/2010,08/02/2010,10/08/2010
83,152,Electricity,,06/02/2010,07/01/2010,10/08/2010
83,152,Electricity,,05/03/2010,06/02/2010,10/08/2010
83,152,Electricity,,04/02/2010,05/03/2010,10/08/2010
83,152,Electricity,,03/03/2010,04/02/2010,10/08/2010
83,152,Electricity,,02/01/2010,03/03/2010,10/08/2010
83,152,Electricity,,12/30/2009,02/01/2010,10/08/2010
83,152,Electricity,,11/10/2009,12/30/2009,10/08/2010
83,152,Electricity,,10/05/2009,11/10/2009,10/08/2010
83,153,Natural Gas,,05/01/2013,05/31/2013,10/08/2010
70,129,Natural Gas,,06/26/2013,07/26/2013,10/19/2010
70,129,Natural Gas,,12/28/2007,01/29/2008,10/19/2010
70,129,Natural Gas,,01/29/2008,02/28/2008,10/19/2010
70,129,Natural Gas,,02/28/2008,03/27/2008,10/19/2010
