CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
15015889,VEHICLE STOLEN,03/17/2015 12:00:00 AM,23:00,MOTOR VEHICLE THEFT,2,06/10/2015 03:30:12 AM,"ALLSTON WAY &amp; FOURTH ST
Berkeley, CA
(37.864813016000028, -122.29895573399995)",ALLSTON WAY & FOURTH ST,Berkeley,CA
15090239,IDENTITY THEFT,01/28/2015 12:00:00 AM,01:00,FRAUD,3,06/10/2015 03:30:11 AM,"1600 CEDAR ST
Berkeley, CA
(37.876938802000041, -122.28034033999995)",1600 CEDAR ST,Berkeley,CA
15090792,BURGLARY AUTO,05/17/2015 12:00:00 AM,18:30,BURGLARY - VEHICLE,0,06/10/2015 03:30:09 AM,"1801 SHATTUCK AVE
Berkeley, CA
(37.874414986000033, -122.26854523399999)",1801 SHATTUCK AVE,Berkeley,CA
15009515,GUN/WEAPON,02/15/2015 12:00:00 AM,16:38,WEAPONS OFFENSE,0,06/10/2015 03:30:11 AM,"2400 TELEGRAPH AVE
Berkeley, CA
(37.866743093000025, -122.25883265099998)",2400 TELEGRAPH AVE,Berkeley,CA
15032596,BURGLARY AUTO,06/05/2015 12:00:00 AM,22:30,BURGLARY - VEHICLE,5,06/10/2015 03:30:10 AM,"2600 FULTON ST
Berkeley, CA
(37.862313722000067, -122.26486254099996)",2600 FULTON ST,Berkeley,CA
15090788,BURGLARY AUTO,05/05/2015 12:00:00 AM,17:15,BURGLARY - VEHICLE,2,06/10/2015 03:30:09 AM,"SPINNAKER CIRCLE
Berkeley, CA
(37.87012855200004, -122.31714840599994)",SPINNAKER CIRCLE,Berkeley,CA
15021451,IDENTITY THEFT,01/01/2015 12:00:00 AM,00:01,FRAUD,4,06/10/2015 03:30:13 AM,"1100 EUCLID AVE
Berkeley, CA
(37.889380517000063, -122.26256175099996)",1100 EUCLID AVE,Berkeley,CA
15090325,BURGLARY AUTO,02/26/2015 12:00:00 AM,11:10,BURGLARY - VEHICLE,4,06/10/2015 03:30:12 AM,"900 GILMAN ST
Berkeley, CA
(37.879663629000049, -122.29979396499999)",900 GILMAN ST,Berkeley,CA
15032889,NARCOTICS,06/07/2015 12:00:00 AM,20:39,DRUG VIOLATION,0,06/10/2015 03:30:10 AM,"BANCROFT WAY &amp; FOURTH ST
Berkeley, CA
(37.86307264800007, -122.29840660999997)",BANCROFT WAY & FOURTH ST,Berkeley,CA
14073010,VEHICLE STOLEN,12/12/2014 12:00:00 AM,09:30,MOTOR VEHICLE THEFT,5,06/10/2015 03:30:08 AM,"1000 ADDISON ST
Berkeley, CA
(37.867360985000062, -122.29386816599998)",1000 ADDISON ST,Berkeley,CA
14075873,BURGLARY RESIDENTIAL,12/29/2014 12:00:00 AM,20:00,BURGLARY - RESIDENTIAL,1,06/10/2015 03:30:10 AM,"3000 KING ST
Berkeley, CA
(37.853809282000043, -122.27425935299999)",3000 KING ST,Berkeley,CA
15090710,BURGLARY AUTO,05/04/2015 12:00:00 AM,14:30,BURGLARY - VEHICLE,1,06/10/2015 03:30:09 AM,"2900 COLLEGE AVE
Berkeley, CA
(37.858236949000059, -122.25320375399997)",2900 COLLEGE AVE,Berkeley,CA
