OBJECTID,NAME,POLY_TYP,MBL_UNIT,Address,Hyperlink,Shape_area,Shape_len
47,Codornices Park,Park,1,"1201 Euclid Avenue, across from Rose Garden",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12118,44966.881594500002393,914.349021648999951
48,Berkeley Way Mini Park,Park,3,"1294 Berkeley Way, at West Street",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12054,2088.434060950000003,238.773044578999986
49,Cedar-Rose Park,Park,1,1300 Rose Street between Hopkins and Cedar Streets,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12072,19551.799430800001574,1053.953532459999906
50,Contra Costa Rock Park,Park,1,869-A Contra Costa Ave bet. Los Angeles & Yosemite,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12120,693.67390031299999,108.441687712999993
51,Frederick Park,Park,1,780 Arlington Avenue at Yosemite Road,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12220,921.58731861800004,126.535516565999998
52,Great Stoneface Park,Park,1,"1930 Thousand Oaks Blvd, at Yosemite Rd",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12556,3208.656029499999931,215.778961263000014
53,Glendale - La Loma Park,Park,1,1310 La Loma at Glendale Avenue,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12504,22877.421153600000252,793.090258703000018
54,Grizzly Peak Park,Park,1,50 Whitaker Ave between Miller and Sterling,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12570,1113.73067927000011,145.881235131000011
55,Grotto Rock Park,Park,1,"879 Santa Barbara Road, north of Indian Rock Ave",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12572,1576.214474560000099,164.520268358999999
56,YAP & Grove Street Park,Park,2,1730 Oregon Street at Martin Luther King Jr. Way,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12580,11663.58859510000002,507.430730207000011
57,Haskell-Mabel Mini Park,Park,3,1255 Haskell St at the Corner of Haskell and Mabel,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12604,469.981865249999998,93.397661126900005
58,Indian Rock Park,Park,1,950  Indian Rock Avenue at Shattuck Avenue,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12614,5568.656216170000334,429.438088300999993
70,Old City Hall Complex,Park,2,Old City Hall Complex,N/A,2614.614724529999876,301.923011594000002
71,Presentation Park,Park,2,2199 California Street at  Allston Way,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12764,915.213753730999997,118.126209016999994
72,Prince Street Mini Park,Park,2,1631 Prince Street beetween California and King,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12772,1792.597761060000039,169.481239912999996
