Semester Year Name,Semester Year Letter Cd Concat,Semester Nm,Ungrad Grad Cd,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum,Student Headcount-DEC,Academic Yr
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,24,21,24,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,220,200,220,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Economics,606,484.6666667,606,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,157,137.5,157,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,26,25,26,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Geography,66,60.5,66,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,History,337,296.1666667,337,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,477,424.3333333,477,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,86,71.83333333,86,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Political Science,793,678.1666667,793,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Psychology,690,596,690,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Sociology,437,396.3333333,437,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Undeclared,L&S Undeclared,9391,9391,9391,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,739,664.3333333,739,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,63,60.33333333,63,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",405,397,405,2005-06
