Academic Yr,DegLvl,DegLvlDesc,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum
1991-92,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Other Social Sciences,195,189
1991-92,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Political Science,383,355
1991-92,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Psychology,356,332
1991-92,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Sociology,187,181.5
1991-92,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,IAS Teaching Program,335,311
1991-92,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,UGIS-UG Interdisc Studies,134,122
1991-92,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,30,30
1991-92,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",80,80
1991-92,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Science & Tox,40,40
1991-92,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Other CNR Programs,36,36
1991-92,1,Bachelor,All,Haas School of Business,Haas School of Business,Business,292,292
1991-92,1,Bachelor,All,School of Optometry,School of Optometry,Optometry,63,63
1991-92,2,Masters/Professional,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,19,19
1991-92,2,Masters/Professional,All,Clg of Chemistry,Clg of Chemistry,Chemistry,11,11
1991-92,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,129,135
1991-92,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,73,73
1991-92,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,32,32
1991-92,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,23,23
1991-92,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,66,66
1991-92,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,7,7
1991-92,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Ocean Eng Grad Grp,6,6
1991-92,2,Masters/Professional,All,Clg of Env Design,Clg of Env Design,Architecture,58,58
1991-92,2,Masters/Professional,All,Clg of Env Design,Clg of Env Design,City & Regional Planning,50,50
1991-92,2,Masters/Professional,All,Clg of Env Design,Clg of Env Design,Landscape Arch & Env Plan,20,20
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Anc Hist Med Arc Grad Grp,4,4
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Art Practice,14,14
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Classics,5,5
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Comparative Literature,21,21
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,East Asian Lang & Culture,2,2
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,English,30,29.5
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,German,2,2
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,History of Art,9,9
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Italian Studies,2,2
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Music,7,7
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Near Eastern Studies,8,8
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rhetoric,2,2
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Slavic Languages & Lit,7,7
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,South & SE Asian Studies,4,4
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Spanish & Portuguese,3,3
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Theater Dance & Perf Stds,2,2
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Biophysics Grad Grp,1,1
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Endocrinology Grad Grp,1,1
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Molecular & Cell Biology,5,5
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Physical Education,3,3
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Astronomy,7,7
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Earth & Planetary Science,1,1
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Mathematics,29,29
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Physics,26,26
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Statistics,17,17
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Anthropology,17,17
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Asian Studies Grad Grp,9,9
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Demography,2,2
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Economics,11,11
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Ethnic Studies Grad Grp,7,7
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Folklore Grad Grp,3,3
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Geography,3,3
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,History,36,36
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Latin Am Stds Grad Grp,3,3
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Linguistics,7,7
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Political Science,21,21
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Psychology,13,13
1991-92,2,Masters/Professional,All,Clg of Letters & Science,L&S-Social Sciences Div,Sociology,10,10
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,10,10
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Comp Biochem Grad Grp,2,2
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Energy & Resources Group,11,11
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",29,29
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Science & Tox,2,2
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Other CNR Programs,1,1
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,1,1
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Range Mgmt Grad Grp,3,3
1991-92,2,Masters/Professional,All,Clg of Natural Resources,Clg of Natural Resources,Wood Sci & Tech Grad Grp,2,2
1991-92,2,Masters/Professional,All,Goldman School Pub Pol,Goldman School Pub Pol,Public Policy,41,41
1991-92,2,Masters/Professional,All,Grad School of Education,Grad School of Education,Education,69,69.5
1991-92,2,Masters/Professional,All,Grad School of Journalism,Grad School of Journalism,Journalism,35,35
1991-92,2,Masters/Professional,All,Graduate Division,Graduate Division,Interdisc Doctoral Pgms,2,2
1991-92,2,Masters/Professional,All,Haas School of Business,Haas School of Business,Business,350,350
1991-92,2,Masters/Professional,All,I School,I School,Library & Info Studies,90,90
1991-92,2,Masters/Professional,All,School of Law,School of Law,JSP Grad Pgm,1,1
1991-92,2,Masters/Professional,All,School of Law,School of Law,Law,308,308
1991-92,2,Masters/Professional,All,School of Optometry,School of Optometry,Optometry,65,65
1991-92,2,Masters/Professional,All,School of Public Health,School of Public Health,Biostatistics Grad Grp,1,1
1991-92,2,Masters/Professional,All,School of Public Health,School of Public Health,Envir Health Sci Grad Grp,3,3
1991-92,2,Masters/Professional,All,School of Public Health,School of Public Health,Hlth & Med Sci Grad Grp,15,15
1991-92,2,Masters/Professional,All,School of Public Health,School of Public Health,Public Health,196,196
1991-92,2,Masters/Professional,All,School of Social Welfare,School of Social Welfare,Social Welfare,95,95
1991-92,3,Doctoral,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,21,21
1991-92,3,Doctoral,All,Clg of Chemistry,Clg of Chemistry,Chemistry,83,83
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Bioengineering,1,1
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,30,30
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,65,65
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,12,12
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,14,14
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,36,36
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,3,3
1991-92,3,Doctoral,All,Clg of Engineering,Clg of Engineering,Ocean Eng Grad Grp,2,2
1991-92,3,Doctoral,All,Clg of Env Design,Clg of Env Design,Architecture,13,13
1991-92,3,Doctoral,All,Clg of Env Design,Clg of Env Design,City & Regional Planning,7,7
1991-92,3,Doctoral,All,Clg of Env Design,Clg of Env Design,Landscape Arch & Env Plan,1,1
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Anc Hist Med Arc Grad Grp,5,5
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Classics,4,4
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Comparative Literature,14,14
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,East Asian Lang & Culture,3,3
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,English,20,20
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,French,6,6
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,German,7,7
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,History of Art,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Italian Studies,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Music,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Near Eastern Studies,9,9
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Philosophy,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rhetoric,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rom Lang & Lit Grad Pgm,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Scandinavian,1,1
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Slavic Languages & Lit,4,4
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,South & SE Asian Studies,1,1
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Spanish & Portuguese,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Theater Dance & Perf Stds,5,5
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Bio Sciences Div,Biophysics Grad Grp,13,13
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Bio Sciences Div,Endocrinology Grad Grp,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Bio Sciences Div,Integrative Biology,4,4
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Bio Sciences Div,Other Bio Sciences Pgms,5,5
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Bio Sciences Div,Physical Education,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Astronomy,3,3
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Earth & Planetary Science,13,13
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Logic & Meth Sci Grad Grp,1,1
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Mathematics,28,28
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Physics,35,35
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Statistics,5,5
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Anthropology,18,18
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Demography,2,2
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Economics,18,18
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Ethnic Studies Grad Grp,3,3
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Geography,1,1
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,History,29,29
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Latin Am Stds Grad Grp,1,1
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Linguistics,6,6
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Political Science,17,17
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Psychology,13,13
1991-92,3,Doctoral,All,Clg of Letters & Science,L&S-Social Sciences Div,Sociology,10,10
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Env Chem Grad Grp,1,1
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,15,15
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Comp Biochem Grad Grp,3,3
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Energy & Resources Group,1,1
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",25,25
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Microbiology Grad Grp,1,1
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Science & Tox,5,5
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Other CNR Programs,1,1
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,2,2
1991-92,3,Doctoral,All,Clg of Natural Resources,Clg of Natural Resources,Wood Sci & Tech Grad Grp,1,1
1991-92,3,Doctoral,All,Goldman School Pub Pol,Goldman School Pub Pol,Public Policy,1,1
1991-92,3,Doctoral,All,Grad School of Education,Grad School of Education,Education,35,35
1991-92,3,Doctoral,All,Grad School of Education,Grad School of Education,Sci & Math Educ Grad Grp,2,2
1991-92,3,Doctoral,All,Graduate Division,Graduate Division,Interdisc Doctoral Pgms,45,45
1991-92,3,Doctoral,All,Haas School of Business,Haas School of Business,Business,9,9
1991-92,3,Doctoral,All,I School,I School,Library & Info Studies,3,3
1991-92,3,Doctoral,All,School of Law,School of Law,JSP Grad Pgm,2,2
1991-92,3,Doctoral,All,School of Law,School of Law,Law,1,1
1991-92,3,Doctoral,All,School of Optometry,School of Optometry,Optometry,4,4
1991-92,3,Doctoral,All,School of Public Health,School of Public Health,Biostatistics Grad Grp,1,1
1991-92,3,Doctoral,All,School of Public Health,School of Public Health,Envir Health Sci Grad Grp,3,3
1991-92,3,Doctoral,All,School of Public Health,School of Public Health,Epidemiology Grad Grp,8,8
1991-92,3,Doctoral,All,School of Public Health,School of Public Health,Hlth Svcs Pol An Grad Grp,2,2
1991-92,3,Doctoral,All,School of Public Health,School of Public Health,Public Health,13,13
1991-92,3,Doctoral,All,School of Social Welfare,School of Social Welfare,Social Welfare,4,4
1992-93,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,85,82.5
1992-93,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,52,51
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,15,15
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,109,109
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,250,242
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,16,16
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,36,34.5
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,46,33.5
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,137,127
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,21,14.5
1992-93,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Ocean Eng Grad Grp,1,1
1992-93,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Architecture,191,191
1992-93,1,Bachelor,All,Clg of Env Design,Clg of Env Design,City & Regional Planning,1,1
1992-93,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Landscape Arch & Env Plan,16,16
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Chemistry,10,7.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Computer Science,107,95.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Legal Studies,93,84.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Social Welfare,84,77
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Art Practice,67,59
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Classics,15,12
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Comparative Literature,41,38
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,East Asian Lang & Culture,31,23.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,English,486,452.3333333
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Film and Media,19,17.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,French,34,24
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,German,27,19
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,History of Art,34,31.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Italian Studies,12,9
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Music,36,30.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Near Eastern Studies,16,10.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Other Arts & Humanities,12,11.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Philosophy,75,70
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rhetoric,106,96.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Scandinavian,4,3.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Slavic Languages & Lit,15,11.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,South & SE Asian Studies,6,5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Spanish & Portuguese,50,40.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Theater Dance & Perf Stds,28,20.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Integrative Biology,243,230
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Molecular & Cell Biology,365,339
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Other Bio Sciences Pgms,2,2
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Physical Education,44,43.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Astronomy,8,6.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Earth & Planetary Science,11,9.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Mathematics,110,92.83333333
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Other Phys Sci Programs,6,5.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Physics,67,59.83333333
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Statistics,17,13.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,African American Studies,10,9
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Anthropology,178,163.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Economics,361,311
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Ethnic Studies,88,87.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Gender & Womens Studies,16,13.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Geography,52,46.83333333
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,History,308,291
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Linguistics,25,21.5
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Other Social Sciences,162,158
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Political Science,347,318.3333333
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Psychology,335,309
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Sociology,184,176
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,IAS Teaching Program,284,271
1992-93,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,UGIS-UG Interdisc Studies,190,173.3333333
1992-93,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,32,32
1992-93,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",68,68
1992-93,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Science & Tox,14,14
1992-93,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Other CNR Programs,28,28
1992-93,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,9,9
1992-93,1,Bachelor,All,Haas School of Business,Haas School of Business,Business,261,261
1992-93,1,Bachelor,All,School of Optometry,School of Optometry,Optometry,65,65
1992-93,2,Masters/Professional,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,13,13
1992-93,2,Masters/Professional,All,Clg of Chemistry,Clg of Chemistry,Chemistry,8,8
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Bioengineering,1,1
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,170,170
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,83,83
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,23,23
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,33,33
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,51,52
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,12,12
1992-93,2,Masters/Professional,All,Clg of Engineering,Clg of Engineering,Ocean Eng Grad Grp,8,8
1992-93,2,Masters/Professional,All,Clg of Env Design,Clg of Env Design,Architecture,75,75
1992-93,2,Masters/Professional,All,Clg of Env Design,Clg of Env Design,City & Regional Planning,39,39
1992-93,2,Masters/Professional,All,Clg of Env Design,Clg of Env Design,Landscape Arch & Env Plan,30,30
1992-93,2,Masters/Professional,All,Clg of Env Design,Clg of Env Design,Other Env Design Programs,6,6
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Anc Hist Med Arc Grad Grp,4,4
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Art Practice,11,11
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Classics,2,2
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Comparative Literature,17,17
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,East Asian Lang & Culture,9,9
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,English,16,15
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,French,2,2
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,German,3,3
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,History of Art,1,1
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Italian Studies,3,3
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Music,9,9
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Near Eastern Studies,3,3
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rhetoric,5,5
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Scandinavian,3,3
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Slavic Languages & Lit,2,2
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,South & SE Asian Studies,2,2
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Spanish & Portuguese,3,3
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Theater Dance & Perf Stds,3,3
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Biophysics Grad Grp,3,3
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Endocrinology Grad Grp,2,2
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Integrative Biology,4,4
1992-93,2,Masters/Professional,All,Clg of Letters & Science,L&S-Bio Sciences Div,Molecular & Cell Biology,6,6
