Div,Dept,Prog,FTE
L&S-Social Sciences Div,Ethnic Studies,Ethnic Studies,15.75
L&S-Social Sciences Div,Ethnic Studies Grad Grp,Ethnic Studies Grad Grp,0
L&S-Social Sciences Div,Folklore Grad Grp,Folklore Grad Grp,0
L&S-Social Sciences Div,Gender & Womens Studies,Gender & Womens Studies,7.5
L&S-Social Sciences Div,Geography,Geography,13.75
L&S-Social Sciences Div,History,History,47
L&S-Social Sciences Div,Intl & Area Stds Grad Grp,Intl & Area Stds Grad Grp,0
L&S-Social Sciences Div,Latin Am Stds Grad Grp,Latin Am Stds Grad Grp,0
L&S-Social Sciences Div,Linguistics,Linguistics,14.5
L&S-Social Sciences Div,Other Social Sciences,Other Social Sciences,0
L&S-Social Sciences Div,Political Science,Political Science,36.95
L&S-Social Sciences Div,Psychology,Psychology,32
L&S-Social Sciences Div,Sociology,Sociology,25
L&S-Social Sciences Div,Sociology/Demog Grad Grp,Sociology/Demog Grad Grp,0
L&S-Undeclared,L&S Undeclared,L&S Undeclared,0
L&S-Undergraduate Div,IAS Teaching Program,IAS Teaching Program,0
L&S-Undergraduate Div,UGIS-UG Interdisc Studies,UGIS-UG Interdisc Studies,3
Other EVCP Programs,Other EVCP Programs,Other EVCP Programs,6.5
School of Law,JSP Grad Pgm,JSP Grad Pgm,0
School of Law,Law,Law,61.25
School of Optometry,Optometry,Optometry,15
School of Optometry,Vision Science Grad Grp,Vision Science Grad Grp,0
School of Public Health,Biostatistics Grad Grp,Biostatistics Grad Grp,0
School of Public Health,Envir Health Sci Grad Grp,Envir Health Sci Grad Grp,0
School of Public Health,Epidemiology Grad Grp,Epidemiology Grad Grp,0
School of Public Health,Hlth & Med Sci Grad Grp,Hlth & Med Sci Grad Grp,0
School of Public Health,Hlth Svcs Pol An Grad Grp,Hlth Svcs Pol An Grad Grp,0
School of Public Health,Inf Dis & Imm Grad Grp,Inf Dis & Imm Grad Grp,0
School of Public Health,Public Health,Public Health,46.75
School of Social Welfare,Social Welfare,Social Welfare,16
